shift_id,business_date,opened_at_th,closed_at_th,status
e5b03d14-ad3f-4eb9-ae93-fd4e35fd51b5,2026-08-26,2026-08-26 16:01:14.028036,2026-08-27 00:00:57.405233,closed
9512bbb4-d247-4a48-97ae-648527074b8e,2026-08-27,2026-08-27 08:02:20.254672,2026-08-27 08:03:26.226042,closed
